rna,LociPARSE,rsRNASP,tb_mcq,DFIRE,Z-LociPARSE,Z-rsRNASP,Z-tb_mcq,Z-DFIRE
00001_cppc_0000014.pdb,0.83,-37206.62,8.87,-245653.7,0.16,-0.61,-0.16,-1.32
00001_cppc_0000964.pdb,0.81,-40107.91,8.52,-260327.6,-0.93,2.14,0.3,1.31
00001_cppc_0000195.pdb,0.81,-37731.63,9.49,-258343.61,-0.93,-0.11,-0.97,0.95
00001_cppc_0000780.pdb,0.84,-37479.52,8.34,-252887.64,0.71,-0.35,0.54,-0.02
00001_cppc_0000214.pdb,0.86,-37572.26,8.48,-251014.37,1.8,-0.26,0.35,-0.36
00001_cppc_0000995.pdb,0.84,-36421.04,8.56,-252549.98,0.71,-1.36,0.25,-0.08
00001_cppc_0000100.pdb,0.8,-38099.86,8.97,-256518.59,-1.48,0.24,-0.29,0.63
00001_cppc_0000574.pdb,0.82,-38994.84,9.1,-253144.18,-0.38,1.09,-0.46,0.02
00002_cppc_0001137.pdb,0.82,-37946.63,10.01,-257224.74,-0.38,0.09,-1.66,0.75
00001_cppc_0000402.pdb,0.84,-36947.83,7.15,-242474.95,0.71,-0.86,2.1,-1.88
