,badBondsCategory,badAnglesCategory,rankCategory
00014_cppc_0013418.pdb,Warning,Good,Warning
00012_cppc_0011877.pdb,Warning,Good,Warning
00006_cppc_0005978.pdb,Warning,Good,Warning
00001_cppc_0000214.pdb,Warning,Good,Warning
00050_cpr7p_0036085.pdb,Warning,Good,Warning
00012_cppc_0011598.pdb,Warning,Caution,Warning
00001_cppc_0000964.pdb,Warning,Good,Warning
00012_cppc_0011855.pdb,Warning,Good,Warning
00009_cppc_0008773.pdb,Warning,Good,Warning
00001_cppc_0000780.pdb,Warning,Good,Warning
00008_cppc_0007328.pdb,Warning,Good,Warning
00002_cppc_0001589.pdb,Warning,Good,Warning
00002_cppc_0001878.pdb,Warning,Good,Caution
00029_cpr7p_0015337.pdb,Warning,Good,Warning
00013_cppc_0012923.pdb,Warning,Good,Warning
00007_cppc_0006941.pdb,Warning,Good,Caution
00010_cppc_0009697.pdb,Warning,Caution,Warning
00011_cppc_0010497.pdb,Warning,Good,Warning
00014_cppc_0013124.pdb,Warning,Good,Warning
00013_cppc_0012398.pdb,Warning,Good,Warning
00003_cppc_0002546.pdb,Warning,Good,Warning
00004_cppc_0003518.pdb,Warning,Caution,Caution
00007_cppc_0006569.pdb,Warning,Good,Warning
00003_cppc_0002441.pdb,Warning,Good,Warning
00006_cppc_0005596.pdb,Warning,Good,Warning
00001_cppc_0000402.pdb,Warning,Good,Warning
00011_cppc_0010129.pdb,Warning,Good,Warning
00007_cppc_0006774.pdb,Warning,Good,Warning
00008_cppc_0007613.pdb,Warning,Caution,Warning
00002_cppc_0001389.pdb,Warning,Good,Warning
00001_cppc_0000574.pdb,Warning,Caution,Warning
00012_cppc_0011007.pdb,Warning,Good,Warning
00001_cppc_0000995.pdb,Warning,Good,Warning
00037_cpr7p_0022630.pdb,Warning,Good,Warning
00009_cppc_0008577.pdb,Warning,Good,Warning
00003_cppc_0002446.pdb,Warning,Good,Warning
00010_cppc_0009155.pdb,Warning,Good,Warning
00007_cppc_0006267.pdb,Warning,Good,Warning
00010_cppc_0009632.pdb,Warning,Good,Warning
00002_cppc_0001162.pdb,Warning,Good,Warning
00012_cppc_0011670.pdb,Warning,Good,Warning
00002_cppc_0001295.pdb,Warning,Good,Warning
00006_cppc_0005696.pdb,Warning,Good,Warning
00005_cppc_0004256.pdb,Warning,Caution,Warning
00011_cppc_0010617.pdb,Warning,Good,Warning
00005_cppc_0004760.pdb,Warning,Good,Warning
00013_cppc_0012291.pdb,Warning,Good,Warning
00014_cppc_0013171.pdb,Warning,Good,Warning
00003_cppc_0002211.pdb,,,
00006_cppc_0005692.pdb,Warning,Good,Warning
00006_cppc_0005528.pdb,Warning,Caution,Warning
00013_cppc_0012027.pdb,Warning,Good,Caution
00011_cppc_0010292.pdb,Warning,Good,Warning
00006_cppc_0005695.pdb,Warning,Good,Warning
00010_cppc_0009704.pdb,Warning,Good,Caution
00003_cppc_0002687.pdb,Warning,Good,Warning
00008_cppc_0007989.pdb,Warning,Good,Warning
00002_cppc_0001137.pdb,Warning,Good,Warning
00002_cppc_0001845.pdb,Warning,Good,Warning
00011_cppc_0010421.pdb,Warning,Good,Warning
00004_cppc_0003971.pdb,Warning,Good,Warning
00003_cppc_0002185.pdb,Warning,Good,Warning
00004_cppc_0003348.pdb,Warning,Good,Warning
00007_cppc_0006952.pdb,Warning,Good,Warning
00010_cppc_0009650.pdb,Warning,Good,Caution
00003_cppc_0002247.pdb,Warning,Good,Caution
00002_cppc_0001941.pdb,Warning,Good,Warning
00013_cppc_0012336.pdb,Warning,Good,Warning
00003_cppc_0002555.pdb,Warning,Good,Warning
00004_cppc_0003392.pdb,Warning,Caution,Warning
00001_cppc_0000195.pdb,Warning,Good,Warning
00014_cppc_0013050.pdb,Warning,Good,Warning
00001_cppc_0000014.pdb,Warning,Caution,Warning
00011_cppc_0010993.pdb,Warning,Good,Warning
00011_cppc_0010646.pdb,Warning,Good,Warning
00002_cppc_0001833.pdb,Warning,Good,Warning
00004_cppc_0003324.pdb,Warning,Good,Warning
00001_cppc_0000100.pdb,Warning,Good,Warning
00013_cppc_0012525.pdb,Warning,Good,Warning
00002_cppc_0001918.pdb,Warning,Good,Warning
00010_cppc_0009596.pdb,Warning,Good,Warning
00011_cppc_0010355.pdb,Warning,Good,Caution
00009_cppc_0008945.pdb,Warning,Good,Warning
00013_cppc_0012574.pdb,Warning,Good,Warning
00009_cppc_0008089.pdb,Warning,Good,Warning
00003_cppc_0002349.pdb,Warning,Good,Warning
00007_cppc_0006963.pdb,Warning,Good,Warning
00004_cppc_0003806.pdb,Warning,Good,Warning
00007_cppc_0006864.pdb,Warning,Good,Warning
00010_cppc_0009842.pdb,Warning,Good,Warning
