,rnaspider
00014_cppc_0013418.pdb,0.0
00012_cppc_0011877.pdb,0.0
00006_cppc_0005978.pdb,0.0
00001_cppc_0000214.pdb,0.0
00050_cpr7p_0036085.pdb,0.0
00012_cppc_0011598.pdb,0.0
00001_cppc_0000964.pdb,0.0
00012_cppc_0011855.pdb,0.0
00009_cppc_0008773.pdb,0.0
00001_cppc_0000780.pdb,0.0
00008_cppc_0007328.pdb,0.0
00002_cppc_0001589.pdb,0.0
00002_cppc_0001878.pdb,0.0
00029_cpr7p_0015337.pdb,0.0
00013_cppc_0012923.pdb,0.0
00007_cppc_0006941.pdb,0.0
00010_cppc_0009697.pdb,0.0
00011_cppc_0010497.pdb,0.0
00014_cppc_0013124.pdb,0.0
00013_cppc_0012398.pdb,0.0
00003_cppc_0002546.pdb,0.0
00004_cppc_0003518.pdb,0.0
00007_cppc_0006569.pdb,0.0
00003_cppc_0002441.pdb,0.0
00006_cppc_0005596.pdb,0.0
00001_cppc_0000402.pdb,0.0
00011_cppc_0010129.pdb,0.0
00007_cppc_0006774.pdb,0.0
00008_cppc_0007613.pdb,0.0
00002_cppc_0001389.pdb,0.0
00001_cppc_0000574.pdb,0.0
00012_cppc_0011007.pdb,0.0
00001_cppc_0000995.pdb,0.0
00037_cpr7p_0022630.pdb,0.0
00009_cppc_0008577.pdb,0.0
00003_cppc_0002446.pdb,0.0
00010_cppc_0009155.pdb,0.0
00007_cppc_0006267.pdb,0.0
00010_cppc_0009632.pdb,0.0
00002_cppc_0001162.pdb,0.0
00012_cppc_0011670.pdb,0.0
00002_cppc_0001295.pdb,0.0
00006_cppc_0005696.pdb,0.0
00011_cppc_0010617.pdb,0.0
00005_cppc_0004760.pdb,0.0
00013_cppc_0012291.pdb,0.0
00014_cppc_0013171.pdb,0.0
00003_cppc_0002211.pdb,0.0
00006_cppc_0005692.pdb,2.0
00006_cppc_0005528.pdb,0.0
00013_cppc_0012027.pdb,0.0
00011_cppc_0010292.pdb,0.0
00006_cppc_0005695.pdb,0.0
00010_cppc_0009704.pdb,0.0
00003_cppc_0002687.pdb,0.0
00008_cppc_0007989.pdb,0.0
00002_cppc_0001137.pdb,0.0
00002_cppc_0001845.pdb,1.0
00011_cppc_0010421.pdb,0.0
00004_cppc_0003971.pdb,0.0
00003_cppc_0002185.pdb,0.0
00004_cppc_0003348.pdb,0.0
00010_cppc_0009650.pdb,0.0
00003_cppc_0002247.pdb,0.0
00002_cppc_0001941.pdb,0.0
00013_cppc_0012336.pdb,0.0
00003_cppc_0002555.pdb,0.0
00004_cppc_0003392.pdb,0.0
00001_cppc_0000195.pdb,0.0
00001_cppc_0000014.pdb,0.0
00011_cppc_0010993.pdb,0.0
00011_cppc_0010646.pdb,0.0
00002_cppc_0001833.pdb,0.0
00004_cppc_0003324.pdb,0.0
00001_cppc_0000100.pdb,0.0
00013_cppc_0012525.pdb,0.0
00002_cppc_0001918.pdb,0.0
00010_cppc_0009596.pdb,0.0
00011_cppc_0010355.pdb,0.0
00009_cppc_0008945.pdb,0.0
00013_cppc_0012574.pdb,0.0
00009_cppc_0008089.pdb,0.0
00003_cppc_0002349.pdb,0.0
00007_cppc_0006963.pdb,0.0
00004_cppc_0003806.pdb,0.0
00007_cppc_0006864.pdb,0.0
00010_cppc_0009842.pdb,0.0
00007_cppc_0006594.pdb,0.0
00009_cppc_0008693.pdb,0.0
00013_cppc_0012234.pdb,0.0
00014_cppc_0013262.pdb,0.0
00011_cppc_0010479.pdb,0.0
00009_cppc_0008462.pdb,0.0
00002_cppc_0001006.pdb,0.0
00004_cppc_0003958.pdb,1.0
00013_cppc_0012013.pdb,0.0
00008_cppc_0007529.pdb,0.0
00005_cppc_0004964.pdb,0.0
00011_cppc_0010766.pdb,0.0
00003_cppc_0002460.pdb,0.0
00007_cppc_0006989.pdb,0.0
00001_cppc_0000947.pdb,0.0
00014_cppc_0013295.pdb,0.0
00011_cppc_0010743.pdb,0.0
00008_cppc_0007677.pdb,0.0
00009_cppc_0008342.pdb,0.0
00008_cppc_0007148.pdb,0.0
00003_cppc_0002853.pdb,0.0
00011_cppc_0010607.pdb,0.0
00001_cppc_0000992.pdb,0.0
00012_cppc_0011296.pdb,0.0
00010_cppc_0009970.pdb,0.0
00004_cppc_0003762.pdb,0.0
00009_cppc_0008614.pdb,0.0
00006_cppc_0005822.pdb,0.0
00005_cppc_0004056.pdb,0.0
00001_cppc_0000218.pdb,0.0
00008_cppc_0007692.pdb,0.0
00011_cppc_0010939.pdb,0.0
00012_cppc_0011241.pdb,0.0
00006_cppc_0005842.pdb,0.0
00026_cpr7p_0012241.pdb,0.0
00003_cppc_0002472.pdb,0.0
00030_cpr7p_0016059.pdb,0.0
00005_cppc_0004937.pdb,0.0
00008_cppc_0007750.pdb,0.0
00008_cppc_0007510.pdb,0.0
00010_cppc_0009416.pdb,0.0
00002_cppc_0001252.pdb,0.0
00007_cppc_0006730.pdb,0.0
00005_cppc_0004228.pdb,0.0
00010_cppc_0009081.pdb,0.0
00009_cppc_0008648.pdb,0.0
00008_cppc_0007205.pdb,0.0
00014_cppc_0013307.pdb,0.0
00008_cppc_0007267.pdb,0.0
00042_cpr7p_0027647.pdb,0.0
00004_cppc_0003794.pdb,0.0
00014_cppc_0013258.pdb,0.0
00008_cppc_0007323.pdb,0.0
00012_cppc_0011096.pdb,0.0
00006_cppc_0005150.pdb,0.0
00010_cppc_0009468.pdb,0.0
00047_cpr7p_0032981.pdb,0.0
00008_cppc_0007061.pdb,0.0
00001_cppc_0000154.pdb,0.0
00013_cppc_0012800.pdb,0.0
00006_cppc_0005427.pdb,0.0
00008_cppc_0007012.pdb,0.0
00006_cppc_0005656.pdb,0.0
00007_cppc_0006954.pdb,0.0
00012_cppc_0011651.pdb,0.0
00011_cppc_0010881.pdb,0.0
00006_cppc_0005358.pdb,0.0
00011_cppc_0010537.pdb,0.0
00048_cpr7p_0034569.pdb,0.0
00007_cppc_0006674.pdb,0.0
00006_cppc_0005164.pdb,0.0
00003_cppc_0002922.pdb,0.0
00005_cppc_0004633.pdb,0.0
00001_cppc_0000748.pdb,0.0
00010_cppc_0009969.pdb,0.0
00034_cpr7p_0019969.pdb,0.0
00005_cppc_0004716.pdb,0.0
00009_cppc_0008303.pdb,0.0
00010_cppc_0009375.pdb,0.0
00003_cppc_0002318.pdb,0.0
00009_cppc_0008675.pdb,0.0
00004_cppc_0003050.pdb,0.0
00008_cppc_0007935.pdb,0.0
00003_cppc_0002317.pdb,0.0
00012_cppc_0011911.pdb,0.0
00013_cppc_0012912.pdb,0.0
00010_cppc_0009176.pdb,0.0
00003_cppc_0002802.pdb,0.0
00048_cpr7p_0033932.pdb,0.0
00030_cpr7p_0016339.pdb,0.0
00002_cppc_0001077.pdb,0.0
00030_cpr7p_0016532.pdb,0.0
00013_cppc_0012567.pdb,0.0
00012_cppc_0011422.pdb,0.0
00009_cppc_0008104.pdb,0.0
00014_cppc_0013250.pdb,0.0
00013_cppc_0012018.pdb,0.0
00002_cppc_0001518.pdb,0.0
00002_cppc_0001706.pdb,0.0
00020_cpr7p_0005953.pdb,0.0
00044_cpr7p_0030458.pdb,0.0
00007_cppc_0006557.pdb,0.0
00007_cppc_0006691.pdb,0.0
00007_cppc_0006564.pdb,0.0
00001_cppc_0000032.pdb,0.0
00007_cppc_0006294.pdb,0.0
00024_cpr7p_0010417.pdb,0.0
00001_cppc_0000266.pdb,0.0
00004_cppc_0003469.pdb,0.0
00001_cppc_0000801.pdb,0.0
00013_cppc_0012388.pdb,0.0
00003_cppc_0002652.pdb,0.0
00002_cppc_0001640.pdb,0.0
00008_cppc_0007056.pdb,0.0
00012_cppc_0011954.pdb,0.0
00007_cppc_0006249.pdb,0.0
00010_cppc_0009644.pdb,0.0
00007_cppc_0006210.pdb,0.0
00013_cppc_0012783.pdb,0.0
00009_cppc_0008980.pdb,0.0
00009_cppc_0008708.pdb,0.0
00033_cpr7p_0019257.pdb,0.0
00008_cppc_0007805.pdb,0.0
00003_cppc_0002394.pdb,0.0
00002_cppc_0001727.pdb,0.0
00002_cppc_0001117.pdb,0.0
00009_cppc_0008070.pdb,0.0
00004_cppc_0003804.pdb,0.0
00012_cppc_0011178.pdb,0.0
00009_cppc_0008797.pdb,0.0
00003_cppc_0002342.pdb,0.0
00043_cpr7p_0029068.pdb,1.0
00002_cppc_0001939.pdb,0.0
00010_cppc_0009152.pdb,0.0
00001_cppc_0000630.pdb,0.0
00005_cppc_0004580.pdb,0.0
00043_cpr7p_0029450.pdb,0.0
00001_cppc_0000138.pdb,0.0
00013_cppc_0012019.pdb,0.0
00011_cppc_0010924.pdb,0.0
00013_cppc_0012542.pdb,0.0
00002_cppc_0001329.pdb,0.0
00009_cppc_0008369.pdb,0.0
00005_cppc_0004757.pdb,0.0
00006_cppc_0005979.pdb,0.0
00045_cpr7p_0031460.pdb,0.0
00012_cppc_0011611.pdb,0.0
00012_cppc_0011147.pdb,0.0
00010_cppc_0009544.pdb,0.0
00009_cppc_0008971.pdb,0.0
00009_cppc_0008458.pdb,0.0
00002_cppc_0001395.pdb,0.0
00035_cpr7p_0021085.pdb,0.0
00001_cppc_0000468.pdb,0.0
00004_cppc_0003855.pdb,0.0
00013_cppc_0012297.pdb,0.0
00007_cppc_0006667.pdb,0.0
00001_cppc_0000983.pdb,0.0
00004_cppc_0003563.pdb,0.0
00009_cppc_0008749.pdb,0.0
00002_cppc_0001786.pdb,0.0
00009_cppc_0008910.pdb,0.0
00006_cppc_0005476.pdb,0.0
00012_cppc_0011839.pdb,1.0
00004_cppc_0003426.pdb,0.0
00002_cppc_0001307.pdb,0.0
00005_cppc_0004539.pdb,0.0
00050_cpr7p_0036364.pdb,10.0
00010_cppc_0009774.pdb,0.0
00013_cppc_0012650.pdb,0.0
00004_cppc_0003575.pdb,0.0
00010_cppc_0009574.pdb,0.0
00008_cppc_0007114.pdb,0.0
00004_cppc_0003893.pdb,0.0
00012_cppc_0011989.pdb,0.0
00003_cppc_0002505.pdb,0.0
00001_cppc_0000653.pdb,0.0
00001_cppc_0000762.pdb,0.0
00012_cppc_0011811.pdb,0.0
00011_cppc_0010760.pdb,0.0
00027_cpr7p_0012830.pdb,0.0
00011_cppc_0010089.pdb,0.0
00003_cppc_0002098.pdb,0.0
00005_cppc_0004396.pdb,0.0
00013_cppc_0012990.pdb,0.0
00002_cppc_0001951.pdb,0.0
00004_cppc_0003338.pdb,0.0
00013_cppc_0012722.pdb,0.0
00003_cppc_0002594.pdb,0.0
00013_cppc_0012844.pdb,0.0
00009_cppc_0008245.pdb,0.0
00008_cppc_0007816.pdb,0.0
00030_cpr7p_0015783.pdb,0.0
00004_cppc_0003083.pdb,0.0
00003_cppc_0002232.pdb,0.0
00007_cppc_0006484.pdb,0.0
00005_cppc_0004263.pdb,0.0
00007_cppc_0006931.pdb,0.0
00010_cppc_0009287.pdb,0.0
00006_cppc_0005580.pdb,0.0
00003_cppc_0002183.pdb,0.0
00010_cppc_0009240.pdb,0.0
00011_cppc_0010852.pdb,0.0
00003_cppc_0002374.pdb,0.0
00010_cppc_0009856.pdb,0.0
00009_cppc_0008107.pdb,0.0
00011_cppc_0010662.pdb,0.0
00014_cppc_0013220.pdb,0.0
00002_cppc_0001537.pdb,0.0
00003_cppc_0002210.pdb,0.0
00005_cppc_0004549.pdb,0.0
00005_cppc_0004183.pdb,0.0
00001_cppc_0000526.pdb,2.0
00013_cppc_0012461.pdb,0.0
00006_cppc_0005494.pdb,0.0
00029_cpr7p_0014898.pdb,0.0
00013_cppc_0012665.pdb,0.0
00012_cppc_0011661.pdb,0.0
00006_cppc_0005485.pdb,0.0
