,Name,Cluster
0,00383_r1feb2024_0023694,0
1,00395_r1feb2024_0035980,0
2,00416_r1feb2024_0056476,0
3,00418_r1feb2024_0058533,0
4,00418_r1feb2024_0058780,0
5,00382_r1feb2024_0022452,0
6,00418_r1feb2024_0058508,0
7,00412_r1feb2024_0052515,0
8,00418_r1feb2024_0058594,0
9,00400_r1feb2024_0040875,0
10,00388_r1feb2024_0028618,0
11,00362_r1feb2024_0002569,0
12,00371_r1feb2024_0011910,0
13,00425_r1feb2024_0065663,0
14,00344_dnfs_0293692,0
15,00352_dnfs_0301708,0
16,00370_r1feb2024_0011116,0
17,00371_r1feb2024_0011198,0
18,00412_r1feb2024_0052258,0
19,00418_r1feb2024_0058786,0
20,00417_r1feb2024_0058131,0
21,00388_r1feb2024_0028477,0
22,00155_dnfs_0104349,0
23,00371_r1feb2024_0011669,0
24,00395_r1feb2024_0035478,0
25,00387_r1feb2024_0028083,0
26,00367_r1feb2024_0007494,0
27,00373_r1feb2024_0013829,0
28,00418_r1feb2024_0058553,0
29,00429_r1feb2024_0069520,0
30,00380_r1feb2024_0020678,0
31,00424_r1feb2024_0064701,0
32,00379_r1feb2024_0020058,0
33,00418_r1feb2024_0058287,0
34,00368_r1feb2024_0009052,0
35,00418_r1feb2024_0058589,0
36,00418_r1feb2024_0059021,0
37,00371_r1feb2024_0011716,0
38,00418_r1feb2024_0058737,0
39,00411_r1feb2024_0051988,0
40,00418_r1feb2024_0058825,0
41,00388_r1feb2024_0028200,0
42,00418_r1feb2024_0058242,0
43,00412_r1feb2024_0052273,0
44,00418_r1feb2024_0058540,0
45,00418_r1feb2024_0058831,0
46,00407_r1feb2024_0047668,0
47,00386_r1feb2024_0027004,0
48,00382_r1feb2024_0022719,0
49,00404_r1feb2024_0044682,0
50,00129_dnfs_0078753,0
51,00418_r1feb2024_0058255,0
52,00418_r1feb2024_0058375,0
53,00418_r1feb2024_0058322,0
54,00388_r1feb2024_0028535,0
55,00365_r1feb2024_0005916,0
56,00388_r1feb2024_0028856,0
57,00371_r1feb2024_0011521,0
58,00418_r1feb2024_0058561,0
59,00425_r1feb2024_0065761,0
60,00418_r1feb2024_0058425,0
61,00403_r1feb2024_0043932,0
62,00418_r1feb2024_0058310,0
63,00366_r1feb2024_0006942,0
64,00418_r1feb2024_0058222,0
65,00418_r1feb2024_0058541,0
66,00188_dnfs_0137326,0
67,00422_r1feb2024_0062315,0
68,00418_r1feb2024_0058389,0
69,00387_r1feb2024_0027521,0
70,00389_r1feb2024_0029819,0
71,00417_r1feb2024_0058167,0
72,00418_r1feb2024_0058180,0
73,00418_r1feb2024_0058386,0
74,00418_r1feb2024_0058467,0
75,00418_r1feb2024_0058347,0
76,00418_r1feb2024_0058434,0
77,00389_r1feb2024_0029310,0
78,00370_r1feb2024_0011104,0
79,00418_r1feb2024_0058885,1
80,00418_r1feb2024_0058663,1
81,00388_r1feb2024_0028315,1
82,00418_r1feb2024_0058599,1
83,00418_r1feb2024_0058941,1
84,00418_r1feb2024_0058479,1
85,00404_r1feb2024_0044255,1
86,00366_r1feb2024_0006256,1
87,00251_dnfs_0200792,2
88,00049_cpr7p_0035436,2
89,00411_r1feb2024_0052105,2
90,00388_r1feb2024_0028746,3
91,00388_r1feb2024_0028728,3
92,00417_r1feb2024_0058144,3
93,00361_r1feb2024_0001417,3
94,00388_r1feb2024_0028962,3
95,00388_r1feb2024_0028331,3
96,00359_r1feb2024_0000135,3
97,00418_r1feb2024_0058186,3
98,00400_r1feb2024_0040414,4
99,00387_r1feb2024_0028064,5
100,00021_cpr7p_0007162,5
101,00016_cpr7p_0002133,5
102,00381_r1feb2024_0021930,6
103,00371_r1feb2024_0011777,6
104,00371_r1feb2024_0011970,6
105,00418_r1feb2024_0058832,6
106,00417_r1feb2024_0058050,6
107,00403_r1feb2024_0043812,6
108,00402_r1feb2024_0043022,6
109,00428_r1feb2024_0068635,6
110,00401_r1feb2024_0042092,6
111,00400_r1feb2024_0041143,7
112,00365_r1feb2024_0005506,7
113,00366_r1feb2024_0006951,7
114,00382_r1feb2024_0022391,8
115,00418_r1feb2024_0058327,8
116,00387_r1feb2024_0027290,8
117,00418_r1feb2024_0058485,9
118,00021_cpr7p_0007376,9
119,00391_r1feb2024_0031575,10
120,00369_r1feb2024_0009561,11
121,00388_r1feb2024_0028825,12
122,00418_r1feb2024_0058566,12
123,00286_dnfs_0235102,12
124,00418_r1feb2024_0058368,13
125,00395_r1feb2024_0035999,13
126,00361_r1feb2024_0001623,13
127,00418_r1feb2024_0058365,13
128,00381_r1feb2024_0021319,13
129,00395_r1feb2024_0035230,13
130,00388_r1feb2024_0028972,13
131,00418_r1feb2024_0058200,13
132,00387_r1feb2024_0028126,13
133,00388_r1feb2024_0028720,13
134,00418_r1feb2024_0058776,13
135,00365_r1feb2024_0005738,13
136,00418_r1feb2024_0058243,13
137,00418_r1feb2024_0058851,13
138,00398_r1feb2024_0038728,13
139,00397_r1feb2024_0037440,13
140,00364_r1feb2024_0005073,14
141,00370_r1feb2024_0011172,14
142,00402_r1feb2024_0042377,14
143,00418_r1feb2024_0058633,14
144,00388_r1feb2024_0028447,14
145,00418_r1feb2024_0058351,14
146,00043_cpr7p_0029031,15
147,00380_r1feb2024_0020571,16
148,00401_r1feb2024_0041330,17
149,00365_r1feb2024_0005520,18
150,00031_cpr7p_0016592,18
151,00394_r1feb2024_0034243,19
152,00418_r1feb2024_0058927,19
