rna,CLASH
00031_cpr7p_0017255.pdb,8.18
00043_cpr7p_0028786.pdb,7.28
00391_r1feb2024_0031575.pdb,6.48
00400_r1feb2024_0040414.pdb,6.35
00407_r1feb2024_0047668.pdb,5.99
00386_r1feb2024_0027004.pdb,6.05
00002_cppc_0001941.pdb,10.64
00419_r1feb2024_0059345.pdb,6.47
00382_r1feb2024_0022719.pdb,5.69
00018_cpr7p_0004386.pdb,9.77
00399_r1feb2024_0040129.pdb,6.71
00419_r1feb2024_0059302.pdb,6.91
00418_r1feb2024_0058779.pdb,5.18
00425_r1feb2024_0065682.pdb,6.37
00418_r1feb2024_0058702.pdb,5.26
00383_r1feb2024_0023272.pdb,6.68
00366_r1feb2024_0006425.pdb,5.98
00376_r1feb2024_0017141.pdb,5.52
00397_r1feb2024_0037829.pdb,6.0
00399_r1feb2024_0040123.pdb,6.67
00369_r1feb2024_0009212.pdb,7.06
00380_r1feb2024_0020956.pdb,7.36
00382_r1feb2024_0022819.pdb,5.97
00394_r1feb2024_0034271.pdb,6.94
00381_r1feb2024_0021526.pdb,5.64
00425_r1feb2024_0065944.pdb,6.85
00401_r1feb2024_0041714.pdb,6.18
00192_dnfs_0141620.pdb,6.02
00394_r1feb2024_0034798.pdb,6.65
00361_r1feb2024_0002041.pdb,6.8
00428_r1feb2024_0068220.pdb,6.18
00380_r1feb2024_0020323.pdb,6.32
00401_r1feb2024_0042077.pdb,5.99
00011_cppc_0010129.pdb,10.56
00050_cpr7p_0036433.pdb,8.17
00047_cpr7p_0032709.pdb,7.11
00029_cpr7p_0015337.pdb,10.67
00415_r1feb2024_0055546.pdb,6.94
00403_r1feb2024_0043555.pdb,6.25
00397_r1feb2024_0037497.pdb,7.1
00390_r1feb2024_0030263.pdb,5.84
00373_r1feb2024_0013812.pdb,6.63
00371_r1feb2024_0011777.pdb,5.04
00371_r1feb2024_0011515.pdb,6.75
00402_r1feb2024_0042477.pdb,6.3
00028_cpr7p_0014150.pdb,7.46
00029_cpr7p_0015274.pdb,6.19
00371_r1feb2024_0011358.pdb,5.6
00019_cpr7p_0005132.pdb,7.94
00418_r1feb2024_0058820.pdb,6.25
00048_cpr7p_0033949.pdb,8.36
00368_r1feb2024_0009100.pdb,6.47
00418_r1feb2024_0058977.pdb,5.99
00032_cpr7p_0018446.pdb,7.6
00389_r1feb2024_0030000.pdb,6.08
00044_cpr7p_0030342.pdb,9.42
00032_cpr7p_0017600.pdb,7.24
00413_r1feb2024_0053518.pdb,6.38
00380_r1feb2024_0020626.pdb,6.15
00387_r1feb2024_0028114.pdb,6.05
00365_r1feb2024_0005488.pdb,6.73
00397_r1feb2024_0037363.pdb,5.95
00418_r1feb2024_0059021.pdb,5.14
00418_r1feb2024_0058257.pdb,6.17
00418_r1feb2024_0058853.pdb,5.58
00385_r1feb2024_0025761.pdb,6.79
00026_cpr7p_0012459.pdb,7.42
00371_r1feb2024_0011716.pdb,5.54
00402_r1feb2024_0042662.pdb,6.36
00418_r1feb2024_0058737.pdb,5.28
00028_cpr7p_0014456.pdb,6.82
00388_r1feb2024_0028359.pdb,6.18
00419_r1feb2024_0059513.pdb,6.42
00417_r1feb2024_0058050.pdb,5.57
00370_r1feb2024_0010471.pdb,6.5
00388_r1feb2024_0028977.pdb,5.44
00049_cpr7p_0034999.pdb,6.99
00402_r1feb2024_0042930.pdb,6.35
00371_r1feb2024_0011817.pdb,6.54
00418_r1feb2024_0058485.pdb,5.35
00400_r1feb2024_0040733.pdb,6.29
00003_cppc_0002211.pdb,10.75
00418_r1feb2024_0058921.pdb,5.92
00013_cppc_0012525.pdb,10.83
00014_cpr7p_0000382.pdb,10.43
00419_r1feb2024_0059988.pdb,7.22
00003_cppc_0002441.pdb,10.53
00418_r1feb2024_0058243.pdb,5.36
00428_r1feb2024_0068733.pdb,5.9
00418_r1feb2024_0058851.pdb,5.45
00365_r1feb2024_0005916.pdb,5.61
00388_r1feb2024_0028856.pdb,5.32
00369_r1feb2024_0010166.pdb,6.74
00417_r1feb2024_0057494.pdb,6.52
00409_r1feb2024_0049683.pdb,7.39
00006_cppc_0005528.pdb,10.77
00422_r1feb2024_0062958.pdb,5.5
00391_r1feb2024_0031846.pdb,6.23
00417_r1feb2024_0057963.pdb,6.01
00003_cppc_0002687.pdb,10.38
00381_r1feb2024_0021319.pdb,5.47
00409_r1feb2024_0049280.pdb,5.85
00040_cpr7p_0025701.pdb,9.89
00404_r1feb2024_0044855.pdb,6.84
00404_r1feb2024_0044601.pdb,5.96
00024_cpr7p_0010100.pdb,9.81
00045_cpr7p_0031326.pdb,6.28
00042_cpr7p_0028287.pdb,9.23
00044_cpr7p_0030409.pdb,7.47
00416_r1feb2024_0056622.pdb,5.86
00398_r1feb2024_0038728.pdb,5.6
00102_dnfs_0051595.pdb,5.94
00397_r1feb2024_0037440.pdb,5.88
00036_cpr7p_0022297.pdb,8.98
00419_r1feb2024_0059453.pdb,6.86
00425_r1feb2024_0065790.pdb,6.82
00399_r1feb2024_0040110.pdb,6.29
00237_dnfs_0186284.pdb,6.7
00041_cpr7p_0027422.pdb,6.42
00044_cpr7p_0029767.pdb,10.11
00416_r1feb2024_0057066.pdb,6.7
00022_cpr7p_0008523.pdb,7.1
00418_r1feb2024_0058936.pdb,5.28
00403_r1feb2024_0043576.pdb,6.27
00040_cpr7p_0026324.pdb,9.07
00400_r1feb2024_0040218.pdb,5.73
00370_r1feb2024_0010776.pdb,6.25
00394_r1feb2024_0034574.pdb,6.7
00414_r1feb2024_0055048.pdb,5.68
00370_r1feb2024_0011048.pdb,6.22
00418_r1feb2024_0058470.pdb,6.51
00016_cpr7p_0002092.pdb,8.28
00373_r1feb2024_0013254.pdb,6.55
00417_r1feb2024_0058014.pdb,6.06
00418_r1feb2024_0058647.pdb,5.6
00038_cpr7p_0024212.pdb,9.04
00418_r1feb2024_0058249.pdb,5.44
00386_r1feb2024_0026443.pdb,5.85
00358_okr6d_0000520.pdb,7.16
00427_r1feb2024_0068091.pdb,6.23
00419_r1feb2024_0059739.pdb,7.08
00424_r1feb2024_0064199.pdb,7.62
00422_r1feb2024_0062315.pdb,6.3
00026_cpr7p_0012481.pdb,6.62
00404_r1feb2024_0044255.pdb,6.05
00045_cpr7p_0031428.pdb,9.1
00009_cppc_0008577.pdb,10.56
00418_r1feb2024_0058389.pdb,5.76
00387_r1feb2024_0027521.pdb,5.81
00018_cpr7p_0004444.pdb,7.71
00039_cpr7p_0024927.pdb,6.76
00387_r1feb2024_0028002.pdb,6.21
00425_r1feb2024_0065803.pdb,6.82
00367_r1feb2024_0007492.pdb,6.11
00028_cpr7p_0014526.pdb,8.73
00381_r1feb2024_0021930.pdb,5.41
00017_cpr7p_0002748.pdb,8.72
00036_cpr7p_0022465.pdb,6.96
00371_r1feb2024_0011265.pdb,5.58
00031_cpr7p_0016613.pdb,8.42
00418_r1feb2024_0058956.pdb,5.98
00362_r1feb2024_0002341.pdb,6.45
00357_okr6d_0000055.pdb,7.11
00390_r1feb2024_0031162.pdb,5.8
00412_r1feb2024_0052273.pdb,5.4
00004_cppc_0003324.pdb,10.82
00011_cppc_0010292.pdb,10.8
00040_cpr7p_0026198.pdb,6.5
00422_r1feb2024_0062412.pdb,5.89
00419_r1feb2024_0059469.pdb,6.74
00015_cpr7p_0000850.pdb,7.13
00388_r1feb2024_0028913.pdb,6.35
00394_r1feb2024_0034801.pdb,6.62
00418_r1feb2024_0058200.pdb,5.74
00009_cppc_0008773.pdb,10.74
00418_r1feb2024_0058287.pdb,5.57
00032_cpr7p_0017850.pdb,9.63
00387_r1feb2024_0027861.pdb,5.82
00386_r1feb2024_0026451.pdb,6.34
00382_r1feb2024_0022984.pdb,6.28
00371_r1feb2024_0011433.pdb,5.14
00371_r1feb2024_0011428.pdb,5.39
00357_okr6d_0000358.pdb,6.93
00371_r1feb2024_0011715.pdb,5.16
00375_r1feb2024_0015497.pdb,5.14
00169_dnfs_0118456.pdb,5.97
00371_r1feb2024_0011499.pdb,5.02
00418_r1feb2024_0058976.pdb,4.95
00050_cpr7p_0035917.pdb,7.89
00428_r1feb2024_0068385.pdb,5.15
00358_okr6d_0000574.pdb,6.59
00357_okr6d_0000027.pdb,6.64
00371_r1feb2024_0011344.pdb,6.02
00388_r1feb2024_0028710.pdb,5.3
00027_cpr7p_0012664.pdb,5.94
00402_r1feb2024_0042266.pdb,6.31
00031_cpr7p_0017281.pdb,6.84
00400_r1feb2024_0040240.pdb,5.54
00370_r1feb2024_0011131.pdb,4.96
00362_r1feb2024_0002514.pdb,5.04
00028_cpr7p_0013649.pdb,7.75
00375_r1feb2024_0015891.pdb,5.82
00018_cpr7p_0003904.pdb,7.82
00333_dnfs_0282442.pdb,4.74
00400_r1feb2024_0041134.pdb,5.01
00025_cpr7p_0011483.pdb,7.94
00369_r1feb2024_0009965.pdb,5.22
00388_r1feb2024_0028624.pdb,4.79
00391_r1feb2024_0032060.pdb,4.49
00370_r1feb2024_0011125.pdb,4.38
00046_cpr7p_0031617.pdb,5.58
00048_cpr7p_0033724.pdb,8.73
00416_r1feb2024_0056977.pdb,5.08
00401_r1feb2024_0041830.pdb,4.95
00419_r1feb2024_0059474.pdb,5.48
00358_okr6d_0000560.pdb,5.51
