rna,badBondsCategory,badAnglesCategory,rankCategory
00001_cppc_0000014.pdb,Warning,Caution,Warning
00001_cppc_0000574.pdb,Warning,Caution,Warning
00031_cpr7p_0017255.pdb,Warning,Good,Warning
00043_cpr7p_0028786.pdb,Warning,Good,Warning
00391_r1feb2024_0031575.pdb,Good,Caution,Good
00400_r1feb2024_0040414.pdb,Good,Caution,Good
00407_r1feb2024_0047668.pdb,Good,Caution,Good
00386_r1feb2024_0027004.pdb,Good,Warning,Good
00002_cppc_0001941.pdb,Warning,Good,Warning
00419_r1feb2024_0059345.pdb,Good,Caution,Good
00382_r1feb2024_0022719.pdb,Good,Caution,Good
00018_cpr7p_0004386.pdb,Warning,Good,Warning
00399_r1feb2024_0040129.pdb,Good,Caution,Good
00419_r1feb2024_0059302.pdb,Good,Caution,Good
00418_r1feb2024_0058779.pdb,Good,Caution,Good
00425_r1feb2024_0065682.pdb,Good,Caution,Good
00418_r1feb2024_0058702.pdb,Good,Warning,Good
00383_r1feb2024_0023272.pdb,Good,Caution,Good
00366_r1feb2024_0006425.pdb,Good,Caution,Good
00376_r1feb2024_0017141.pdb,Good,Caution,Good
00397_r1feb2024_0037829.pdb,Good,Caution,Good
00399_r1feb2024_0040123.pdb,Good,Caution,Good
00369_r1feb2024_0009212.pdb,Good,Caution,Good
00380_r1feb2024_0020956.pdb,Good,Caution,Good
00382_r1feb2024_0022819.pdb,Good,Caution,Good
00394_r1feb2024_0034271.pdb,Good,Caution,Good
00381_r1feb2024_0021526.pdb,Good,Caution,Good
00425_r1feb2024_0065944.pdb,Good,Caution,Good
00401_r1feb2024_0041714.pdb,Good,Warning,Good
00192_dnfs_0141620.pdb,Warning,Warning,Warning
00394_r1feb2024_0034798.pdb,Good,Caution,Good
00361_r1feb2024_0002041.pdb,Good,Caution,Good
00428_r1feb2024_0068220.pdb,Good,Warning,Good
00380_r1feb2024_0020323.pdb,Good,Caution,Good
00401_r1feb2024_0042077.pdb,Good,Caution,Good
00011_cppc_0010129.pdb,Warning,Good,Warning
00050_cpr7p_0036433.pdb,Warning,Caution,Warning
00047_cpr7p_0032709.pdb,Warning,Good,Warning
00029_cpr7p_0015337.pdb,Warning,Good,Warning
00415_r1feb2024_0055546.pdb,Good,Caution,Good
00403_r1feb2024_0043555.pdb,Good,Caution,Good
00397_r1feb2024_0037497.pdb,Good,Caution,Good
00390_r1feb2024_0030263.pdb,Good,Caution,Good
00373_r1feb2024_0013812.pdb,Good,Caution,Good
00371_r1feb2024_0011777.pdb,Good,Warning,Good
00371_r1feb2024_0011515.pdb,Good,Caution,Good
00402_r1feb2024_0042477.pdb,Good,Caution,Good
00028_cpr7p_0014150.pdb,Warning,Good,Warning
00029_cpr7p_0015274.pdb,Warning,Good,Good
00371_r1feb2024_0011358.pdb,Good,Warning,Good
00019_cpr7p_0005132.pdb,Warning,Caution,Warning
00418_r1feb2024_0058820.pdb,Good,Caution,Good
00048_cpr7p_0033949.pdb,Warning,Good,Warning
00368_r1feb2024_0009100.pdb,Good,Caution,Good
00418_r1feb2024_0058977.pdb,Good,Caution,Good
00032_cpr7p_0018446.pdb,Warning,Caution,Warning
00389_r1feb2024_0030000.pdb,Good,Caution,Good
00044_cpr7p_0030342.pdb,Warning,Good,Warning
00032_cpr7p_0017600.pdb,Warning,Good,Warning
00413_r1feb2024_0053518.pdb,Good,Caution,Good
00380_r1feb2024_0020626.pdb,Good,Caution,Good
00387_r1feb2024_0028114.pdb,Good,Caution,Good
00365_r1feb2024_0005488.pdb,Good,Caution,Good
00397_r1feb2024_0037363.pdb,Good,Caution,Good
00418_r1feb2024_0059021.pdb,Good,Warning,Good
00418_r1feb2024_0058257.pdb,Good,Caution,Good
00418_r1feb2024_0058853.pdb,Good,Caution,Good
00385_r1feb2024_0025761.pdb,Good,Caution,Good
00026_cpr7p_0012459.pdb,Warning,Good,Warning
00371_r1feb2024_0011716.pdb,Good,Warning,Good
00402_r1feb2024_0042662.pdb,Good,Caution,Good
00418_r1feb2024_0058737.pdb,Good,Warning,Good
00028_cpr7p_0014456.pdb,Warning,Caution,Good
00388_r1feb2024_0028359.pdb,Good,Caution,Good
00419_r1feb2024_0059513.pdb,Good,Caution,Good
00417_r1feb2024_0058050.pdb,Good,Warning,Good
00370_r1feb2024_0010471.pdb,Good,Caution,Good
00388_r1feb2024_0028977.pdb,Good,Caution,Good
00049_cpr7p_0034999.pdb,Warning,Caution,Good
00402_r1feb2024_0042930.pdb,Good,Caution,Good
00371_r1feb2024_0011817.pdb,Good,Warning,Good
00418_r1feb2024_0058485.pdb,Good,Caution,Good
00400_r1feb2024_0040733.pdb,Good,Caution,Good
00003_cppc_0002211.pdb,Warning,Good,Warning
00418_r1feb2024_0058921.pdb,Good,Caution,Good
00013_cppc_0012525.pdb,Warning,Good,Warning
00014_cpr7p_0000382.pdb,Warning,Good,Warning
00419_r1feb2024_0059988.pdb,Good,Caution,Good
00003_cppc_0002441.pdb,Warning,Good,Warning
00418_r1feb2024_0058243.pdb,Good,Caution,Good
00428_r1feb2024_0068733.pdb,Good,Caution,Good
00418_r1feb2024_0058851.pdb,Good,Caution,Good
00365_r1feb2024_0005916.pdb,Good,Warning,Good
00388_r1feb2024_0028856.pdb,Good,Caution,Good
00369_r1feb2024_0010166.pdb,Good,Caution,Good
00417_r1feb2024_0057494.pdb,Good,Caution,Good
00409_r1feb2024_0049683.pdb,Good,Caution,Good
00006_cppc_0005528.pdb,Warning,Caution,Warning
00422_r1feb2024_0062958.pdb,Good,Caution,Good
00391_r1feb2024_0031846.pdb,Good,Caution,Good
00417_r1feb2024_0057963.pdb,Good,Caution,Good
00003_cppc_0002687.pdb,Warning,Good,Warning
00381_r1feb2024_0021319.pdb,Good,Caution,Good
00409_r1feb2024_0049280.pdb,Good,Warning,Good
00040_cpr7p_0025701.pdb,Warning,Good,Warning
00404_r1feb2024_0044855.pdb,Good,Caution,Good
00404_r1feb2024_0044601.pdb,Good,Caution,Good
00024_cpr7p_0010100.pdb,Warning,Good,Warning
00045_cpr7p_0031326.pdb,Warning,Caution,Warning
00042_cpr7p_0028287.pdb,Warning,Caution,Warning
00044_cpr7p_0030409.pdb,Warning,Caution,Warning
00416_r1feb2024_0056622.pdb,Good,Caution,Good
00398_r1feb2024_0038728.pdb,Good,Caution,Good
00102_dnfs_0051595.pdb,Warning,Warning,Warning
00397_r1feb2024_0037440.pdb,Good,Caution,Good
00036_cpr7p_0022297.pdb,Warning,Good,Warning
00419_r1feb2024_0059453.pdb,Good,Caution,Good
00425_r1feb2024_0065790.pdb,Good,Caution,Good
00399_r1feb2024_0040110.pdb,Good,Caution,Good
00237_dnfs_0186284.pdb,Warning,Warning,Warning
00041_cpr7p_0027422.pdb,Warning,Good,Good
00044_cpr7p_0029767.pdb,Warning,Good,Warning
00416_r1feb2024_0057066.pdb,Good,Caution,Good
00022_cpr7p_0008523.pdb,Warning,Caution,Warning
00418_r1feb2024_0058936.pdb,Good,Warning,Good
00403_r1feb2024_0043576.pdb,Good,Caution,Good
00040_cpr7p_0026324.pdb,Warning,Good,Warning
00400_r1feb2024_0040218.pdb,Good,Caution,Good
00370_r1feb2024_0010776.pdb,Good,Caution,Good
00394_r1feb2024_0034574.pdb,Good,Caution,Good
00414_r1feb2024_0055048.pdb,Good,Caution,Good
00370_r1feb2024_0011048.pdb,Good,Caution,Good
00418_r1feb2024_0058470.pdb,Good,Caution,Good
00016_cpr7p_0002092.pdb,Warning,Good,Warning
00373_r1feb2024_0013254.pdb,Good,Caution,Good
00417_r1feb2024_0058014.pdb,Good,Caution,Good
00418_r1feb2024_0058647.pdb,Good,Caution,Good
00038_cpr7p_0024212.pdb,Warning,Good,Warning
00418_r1feb2024_0058249.pdb,Good,Caution,Good
00386_r1feb2024_0026443.pdb,Good,Caution,Good
00358_okr6d_0000520.pdb,Warning,Warning,Warning
00427_r1feb2024_0068091.pdb,Good,Caution,Good
00419_r1feb2024_0059739.pdb,Good,Caution,Good
00424_r1feb2024_0064199.pdb,Good,Caution,Good
00422_r1feb2024_0062315.pdb,Good,Caution,Good
00026_cpr7p_0012481.pdb,Warning,Caution,Warning
00404_r1feb2024_0044255.pdb,Good,Caution,Good
00045_cpr7p_0031428.pdb,Warning,Good,Warning
00009_cppc_0008577.pdb,Warning,Good,Warning
00418_r1feb2024_0058389.pdb,Good,Caution,Good
00387_r1feb2024_0027521.pdb,Good,Caution,Good
00018_cpr7p_0004444.pdb,Warning,Good,Warning
