rna,time
00001_cppc_0000014.pdb,10.358202695846558
00001_cppc_0000574.pdb,10.771342515945435
00031_cpr7p_0017255.pdb,8.634231090545654
00043_cpr7p_0028786.pdb,8.360865831375122
00391_r1feb2024_0031575.pdb,7.593799352645874
00400_r1feb2024_0040414.pdb,6.4171788692474365
00407_r1feb2024_0047668.pdb,6.22604775428772
00386_r1feb2024_0027004.pdb,5.810229539871216
00002_cppc_0001941.pdb,10.85420298576355
00419_r1feb2024_0059345.pdb,6.552719354629517
00382_r1feb2024_0022719.pdb,5.516855955123901
00018_cpr7p_0004386.pdb,9.92181921005249
00399_r1feb2024_0040129.pdb,6.592365026473999
00419_r1feb2024_0059302.pdb,6.585355520248413
00418_r1feb2024_0058779.pdb,5.248024225234985
00425_r1feb2024_0065682.pdb,6.2193663120269775
00418_r1feb2024_0058702.pdb,5.277727127075195
00383_r1feb2024_0023272.pdb,6.571970224380493
00366_r1feb2024_0006425.pdb,5.731915712356567
00376_r1feb2024_0017141.pdb,5.874998331069946
00397_r1feb2024_0037829.pdb,5.835864543914795
00399_r1feb2024_0040123.pdb,6.2685534954071045
00369_r1feb2024_0009212.pdb,7.244845867156982
00380_r1feb2024_0020956.pdb,6.667339324951172
00382_r1feb2024_0022819.pdb,5.736723184585571
00394_r1feb2024_0034271.pdb,7.147588729858398
00381_r1feb2024_0021526.pdb,5.216949701309204
00425_r1feb2024_0065944.pdb,6.9282896518707275
00401_r1feb2024_0041714.pdb,6.776479005813599
00192_dnfs_0141620.pdb,5.791899681091309
00394_r1feb2024_0034798.pdb,6.699573278427124
00361_r1feb2024_0002041.pdb,6.921077251434326
00428_r1feb2024_0068220.pdb,5.606144428253174
00380_r1feb2024_0020323.pdb,6.456966400146484
00401_r1feb2024_0042077.pdb,6.243451356887817
00011_cppc_0010129.pdb,11.072086334228516
00050_cpr7p_0036433.pdb,8.025536060333252
00047_cpr7p_0032709.pdb,7.137840509414673
00029_cpr7p_0015337.pdb,10.90769624710083
00415_r1feb2024_0055546.pdb,6.910488605499268
00403_r1feb2024_0043555.pdb,6.195060729980469
00397_r1feb2024_0037497.pdb,7.263365268707275
00390_r1feb2024_0030263.pdb,5.949653625488281
