rna,rnaspider
00031_cpr7p_0017255.pdb,0
00043_cpr7p_0028786.pdb,0
00391_r1feb2024_0031575.pdb,0
00400_r1feb2024_0040414.pdb,0
00407_r1feb2024_0047668.pdb,0
00386_r1feb2024_0027004.pdb,0
00002/cppc_0001941.pdb,0
00419_r1feb2024_0059345.pdb,0
00382_r1feb2024_0022719.pdb,0
00018_cpr7p_0004386.pdb,0
00399_r1feb2024_0040129.pdb,0
00419_r1feb2024_0059302.pdb,0
00418_r1feb2024_0058779.pdb,0
00425_r1feb2024_0065682.pdb,0
00418_r1feb2024_0058702.pdb,0
00383_r1feb2024_0023272.pdb,0
00366_r1feb2024_0006425.pdb,0
00376_r1feb2024_0017141.pdb,0
00397_r1feb2024_0037829.pdb,0
00399_r1feb2024_0040123.pdb,0
00369_r1feb2024_0009212.pdb,0
00380_r1feb2024_0020956.pdb,0
00382_r1feb2024_0022819.pdb,0
00394_r1feb2024_0034271.pdb,0
00381_r1feb2024_0021526.pdb,0
00425_r1feb2024_0065944.pdb,0
00401_r1feb2024_0041714.pdb,0
00192_dnfs_0141620.pdb,0
00394_r1feb2024_0034798.pdb,0
00361_r1feb2024_0002041.pdb,0
00428_r1feb2024_0068220.pdb,0
00380_r1feb2024_0020323.pdb,0
00401_r1feb2024_0042077.pdb,0
00011/cppc_0010129.pdb,0
00050_cpr7p_0036433.pdb,0
00047_cpr7p_0032709.pdb,0
00029_cpr7p_0015337.pdb,0
00415_r1feb2024_0055546.pdb,0
00403_r1feb2024_0043555.pdb,0
00397_r1feb2024_0037497.pdb,0
00390_r1feb2024_0030263.pdb,0
00373_r1feb2024_0013812.pdb,0
00371_r1feb2024_0011777.pdb,0
00371_r1feb2024_0011515.pdb,0
00402_r1feb2024_0042477.pdb,0
00028_cpr7p_0014150.pdb,0
00029_cpr7p_0015274.pdb,0
00371_r1feb2024_0011358.pdb,0
00019_cpr7p_0005132.pdb,0
00418_r1feb2024_0058820.pdb,0
00048_cpr7p_0033949.pdb,1
00368_r1feb2024_0009100.pdb,0
00418_r1feb2024_0058977.pdb,0
00032_cpr7p_0018446.pdb,2
00389_r1feb2024_0030000.pdb,0
00044_cpr7p_0030342.pdb,0
00032_cpr7p_0017600.pdb,0
00413_r1feb2024_0053518.pdb,0
00380_r1feb2024_0020626.pdb,0
00387_r1feb2024_0028114.pdb,0
00365_r1feb2024_0005488.pdb,0
00397_r1feb2024_0037363.pdb,0
00418_r1feb2024_0059021.pdb,0
00418_r1feb2024_0058257.pdb,0
00418_r1feb2024_0058853.pdb,0
00385_r1feb2024_0025761.pdb,0
00026_cpr7p_0012459.pdb,3
00371_r1feb2024_0011716.pdb,0
00402_r1feb2024_0042662.pdb,0
00418_r1feb2024_0058737.pdb,0
00028_cpr7p_0014456.pdb,0
00388_r1feb2024_0028359.pdb,0
00419_r1feb2024_0059513.pdb,0
00417_r1feb2024_0058050.pdb,0
00370_r1feb2024_0010471.pdb,0
00388_r1feb2024_0028977.pdb,0
00049_cpr7p_0034999.pdb,0
00402_r1feb2024_0042930.pdb,0
00371_r1feb2024_0011817.pdb,0
00418_r1feb2024_0058485.pdb,0
00400_r1feb2024_0040733.pdb,0
00003/cppc_0002211.pdb,0
00418_r1feb2024_0058921.pdb,0
00013/cppc_0012525.pdb,0
00014_cpr7p_0000382.pdb,0
00419_r1feb2024_0059988.pdb,0
00003/cppc_0002441.pdb,0
00418_r1feb2024_0058243.pdb,0
00428_r1feb2024_0068733.pdb,0
00418_r1feb2024_0058851.pdb,0
00365_r1feb2024_0005916.pdb,0
00388_r1feb2024_0028856.pdb,0
00369_r1feb2024_0010166.pdb,0
00417_r1feb2024_0057494.pdb,0
00409_r1feb2024_0049683.pdb,0
00006/cppc_0005528.pdb,0
00422_r1feb2024_0062958.pdb,0
00391_r1feb2024_0031846.pdb,0
00417_r1feb2024_0057963.pdb,0
00003/cppc_0002687.pdb,0
00381_r1feb2024_0021319.pdb,0
00409_r1feb2024_0049280.pdb,0
00040_cpr7p_0025701.pdb,0
00404_r1feb2024_0044855.pdb,0
00404_r1feb2024_0044601.pdb,0
00024_cpr7p_0010100.pdb,0
00045_cpr7p_0031326.pdb,0
00042_cpr7p_0028287.pdb,2
00044_cpr7p_0030409.pdb,0
00416_r1feb2024_0056622.pdb,0
00398_r1feb2024_0038728.pdb,0
00102_dnfs_0051595.pdb,0
00397_r1feb2024_0037440.pdb,0
00036_cpr7p_0022297.pdb,0
