rna,time
00031_cpr7p_0017255.pdb,4.250784635543823
00043_cpr7p_0028786.pdb,4.028898239135742
00391_r1feb2024_0031575.pdb,3.651383876800537
00400_r1feb2024_0040414.pdb,3.872549057006836
00407_r1feb2024_0047668.pdb,3.857085943222046
00386_r1feb2024_0027004.pdb,3.7941336631774902
00002/cppc_0001941.pdb,4.083166837692261
00419_r1feb2024_0059345.pdb,3.824842929840088
00382_r1feb2024_0022719.pdb,2.453356981277466
00018_cpr7p_0004386.pdb,3.840183973312378
00399_r1feb2024_0040129.pdb,3.7597784996032715
00419_r1feb2024_0059302.pdb,3.7403533458709717
00418_r1feb2024_0058779.pdb,2.2492027282714844
00425_r1feb2024_0065682.pdb,3.67000412940979
00418_r1feb2024_0058702.pdb,2.319561004638672
00383_r1feb2024_0023272.pdb,3.834256172180176
00366_r1feb2024_0006425.pdb,3.821758270263672
00376_r1feb2024_0017141.pdb,2.366661310195923
00397_r1feb2024_0037829.pdb,3.6613173484802246
00399_r1feb2024_0040123.pdb,3.7418277263641357
00369_r1feb2024_0009212.pdb,3.711947202682495
00380_r1feb2024_0020956.pdb,3.8342185020446777
00382_r1feb2024_0022819.pdb,3.613943576812744
00394_r1feb2024_0034271.pdb,3.7578365802764893
00381_r1feb2024_0021526.pdb,2.2568373680114746
00425_r1feb2024_0065944.pdb,3.7601804733276367
00401_r1feb2024_0041714.pdb,3.6906087398529053
00192_dnfs_0141620.pdb,3.576012134552002
00394_r1feb2024_0034798.pdb,3.76715087890625
00361_r1feb2024_0002041.pdb,3.8110532760620117
00428_r1feb2024_0068220.pdb,3.70998215675354
00380_r1feb2024_0020323.pdb,3.728278160095215
00401_r1feb2024_0042077.pdb,3.69284987449646
00011/cppc_0010129.pdb,3.9392967224121094
00050_cpr7p_0036433.pdb,3.83613920211792
00047_cpr7p_0032709.pdb,3.7429230213165283
00029_cpr7p_0015337.pdb,3.9982235431671143
00415_r1feb2024_0055546.pdb,3.7849555015563965
00403_r1feb2024_0043555.pdb,3.6388370990753174
00397_r1feb2024_0037497.pdb,3.770719051361084
00390_r1feb2024_0030263.pdb,3.633063793182373
00373_r1feb2024_0013812.pdb,3.771960735321045
00371_r1feb2024_0011777.pdb,2.230466842651367
00371_r1feb2024_0011515.pdb,3.7402431964874268
00402_r1feb2024_0042477.pdb,3.7654247283935547
00028_cpr7p_0014150.pdb,3.7669901847839355
00029_cpr7p_0015274.pdb,3.7566418647766113
00371_r1feb2024_0011358.pdb,3.5845959186553955
00019_cpr7p_0005132.pdb,3.706348180770874
00418_r1feb2024_0058820.pdb,3.6986422538757324
00048_cpr7p_0033949.pdb,5.534280061721802
00368_r1feb2024_0009100.pdb,3.729353427886963
00418_r1feb2024_0058977.pdb,3.7571756839752197
00032_cpr7p_0018446.pdb,4.348098278045654
00389_r1feb2024_0030000.pdb,3.6688947677612305
00044_cpr7p_0030342.pdb,5.243877172470093
00032_cpr7p_0017600.pdb,3.759416103363037
00413_r1feb2024_0053518.pdb,3.7904415130615234
00380_r1feb2024_0020626.pdb,3.661714553833008
00387_r1feb2024_0028114.pdb,3.706327199935913
00365_r1feb2024_0005488.pdb,3.729933500289917
00397_r1feb2024_0037363.pdb,3.6949946880340576
00418_r1feb2024_0059021.pdb,2.223208427429199
00418_r1feb2024_0058257.pdb,3.689063787460327
00418_r1feb2024_0058853.pdb,4.050167083740234
00385_r1feb2024_0025761.pdb,3.7497620582580566
00026_cpr7p_0012459.pdb,5.654153108596802
00371_r1feb2024_0011716.pdb,2.225111484527588
00402_r1feb2024_0042662.pdb,3.7105906009674072
00418_r1feb2024_0058737.pdb,2.2552571296691895
00028_cpr7p_0014456.pdb,3.681049108505249
00388_r1feb2024_0028359.pdb,3.7522175312042236
00419_r1feb2024_0059513.pdb,3.7410848140716553
00417_r1feb2024_0058050.pdb,2.3507728576660156
00370_r1feb2024_0010471.pdb,3.7060844898223877
00388_r1feb2024_0028977.pdb,3.521526575088501
00049_cpr7p_0034999.pdb,3.7389800548553467
00402_r1feb2024_0042930.pdb,3.640902042388916
00371_r1feb2024_0011817.pdb,3.70206618309021
00418_r1feb2024_0058485.pdb,2.1944711208343506
00400_r1feb2024_0040733.pdb,3.7182815074920654
00003/cppc_0002211.pdb,3.9344208240509033
00418_r1feb2024_0058921.pdb,3.790156364440918
00013/cppc_0012525.pdb,3.9404680728912354
00014_cpr7p_0000382.pdb,5.312001466751099
00419_r1feb2024_0059988.pdb,3.8759310245513916
00003/cppc_0002441.pdb,5.373569011688232
00418_r1feb2024_0058243.pdb,2.284672260284424
00428_r1feb2024_0068733.pdb,3.688649892807007
00418_r1feb2024_0058851.pdb,2.335944652557373
00365_r1feb2024_0005916.pdb,2.301929473876953
00388_r1feb2024_0028856.pdb,2.351527214050293
